fen,eval_cp,eval_norm,phase_bucket,ply,move_number,material_white,material_black,piece_count_total,endgame_rule_flag,mate_flag,time_ms,depth
2b1k2r/p2p1ppp/2p1p3/8/2q1P3/8/P3KPPP/1Q3B1R w k - 0 15,-299,-0.14950,MID,28,15,22,24,30,0,0,54.46,11
2b1k2r/p2p1ppp/2p1p3/8/2q1P3/3Q4/P3KPPP/5B1R b k - 1 15,408,0.20400,MID,29,15,22,24,30,0,0,51.58,11
2b1k2r/p2p1ppp/2p1p3/8/4P3/3Q4/q3KPPP/5B1R w k - 0 16,-364,-0.18200,MID,30,16,21,24,28,0,0,55.71,11
2b1k2r/p2p1ppp/2p1p3/8/4P3/8/q2QKPPP/5B1R b k - 1 16,418,0.20900,MID,31,16,21,24,28,0,0,51.17,12
2b1k2r/p2p1ppp/2p1p3/8/q3P3/8/3QKPPP/5B1R w k - 2 17,-388,-0.19400,MID,32,17,21,24,28,0,0,16.26,11
r5k1/1p4Q1/p1bPq3/4p3/5p2/6R1/PP4PP/2R3K1 b - - 0 26,-2000,-1.00000,MID,51,26,24,21,24,0,1,1.14,0
4rr1k/pp4pp/2p1b1q1/8/P1P1P3/1P6/R3nPP1/4R1K1 w - - 0 27,-868,-0.43400,MID,52,27,16,30,29,0,0,13.78,14
4rr1k/pp4pp/2p1b1q1/8/P1P1P3/1P6/R3RPP1/6K1 b - - 0 27,883,0.44150,MID,53,27,16,27,28,0,0,14.02,15
4rr1k/pp4pp/2p3q1/8/P1P1P3/1P5b/R3RPP1/6K1 w - - 1 28,-847,-0.42350,MID,54,28,16,27,28,0,0,14.01,14
4rr1k/pp4pp/2p3q1/8/P1P1P3/1P3P1b/R3R1P1/6K1 b - - 0 28,830,0.41500,MID,55,28,16,27,28,0,0,14.43,15
4rr1k/pp3qpp/2p5/8/P1P1P3/1P3P1b/R3R1P1/6K1 w - - 1 29,-782,-0.39100,MID,56,29,16,27,28,0,0,13.29,15
4rr1k/pp3qpp/2p5/8/P1P1P3/1P3P1b/R3RKP1/8 b - - 2 29,862,0.43100,MID,57,29,16,27,28,0,0,13.51,15
4rr1k/pp3qpp/2p5/8/P1P1P1b1/1P3P2/R3RKP1/8 w - - 3 30,-840,-0.42000,MID,58,30,16,27,28,0,0,14.45,15
4rr1k/pp3qpp/2p5/8/P1P1P1b1/1P3PP1/R3RK2/8 b - - 0 30,2000,1.00000,MID,59,30,16,27,28,0,1,16.71,21
rn2k2r/ppp3pp/8/2bPp3/2B1p1b1/P5P1/1PPP3P/R1B1K1NR w KQkq - 0 11,26,0.01300,END,20,11,26,26,38,1,0,14.75,11
rn2k2r/ppp3pp/8/2bPp3/2B1p1b1/P5PP/1PPP4/R1B1K1NR b KQkq - 0 11,57,0.02850,END,21,11,26,26,38,1,0,14.25,9
rn2k2r/ppp3pp/8/2bPp3/2B1p3/P4bPP/1PPP4/R1B1K1NR w KQkq - 1 12,97,0.04850,END,22,12,26,26,38,1,0,13.15,11
rn2k2r/ppp3pp/8/2bPp3/2B1p3/P4NPP/1PPP4/R1B1K2R b KQkq - 0 12,-17,-0.00850,END,23,12,26,23,37,1,0,14.20,11
rn2k2r/ppp3pp/8/2bPp3/2B5/P4pPP/1PPP4/R1B1K2R w KQkq - 0 13,37,0.01850,END,24,13,23,23,36,1,0,15.00,11
rn2k2r/ppp3pp/8/2bPp3/2B5/P4pPP/1PPP4/R1B1KR2 b Qkq - 1 13,-36,-0.01800,END,25,13,23,23,36,1,0,13.07,10
rn2k2r/ppp3pp/8/2bPp3/2B5/P5PP/1PPP1p2/R1B1KR2 w Qkq - 0 14,49,0.02450,END,26,14,23,23,36,1,0,12.99,10
rn2k2r/ppp3pp/8/2bPp3/2B5/P5PP/1PPP1R2/R1B1K3 b Qkq - 0 14,104,0.05200,END,27,14,23,22,34,1,0,13.95,10
r1br2k1/ppp2pbp/2n2np1/4p3/2P5/P1N1PN2/1P2BPPP/R1B2RK1 b - - 0 10,67,0.03350,END,19,10,29,29,40,1,0,13.98,9
r2r2k1/ppp2pbp/2n1bnp1/4p3/2P5/P1N1PN2/1P2BPPP/R1B2RK1 w - - 1 11,-50,-0.02500,END,20,11,29,29,40,1,0,13.66,9
