fen,eval_cp,eval_norm,phase_bucket,ply,move_number,material_white,material_black,piece_count_total,endgame_rule_flag,mate_flag,time_ms,depth
k3r3/pq1N3p/6p1/3Q1p2/8/8/PP3PPP/5RK1 w - - 1 27,520,0.26000,MID,52,27,22,18,23,0,0,48.25,13
k3r3/pq1N3p/6p1/5p2/3Q4/8/PP3PPP/5RK1 b - - 2 27,-499,-0.24950,MID,53,27,22,18,23,0,0,52.21,13
k2r4/pq1N3p/6p1/5p2/3Q4/8/PP3PPP/5RK1 w - - 3 28,523,0.26150,MID,54,28,22,18,23,0,0,46.97,13
rnb1k2r/ppp2p1p/3b1n2/3P4/8/8/PPP2PPP/RNB1KBNR w KQkq - 0 7,297,0.14850,END,12,7,29,27,36,1,0,44.52,11
rnb1k2r/ppp2p1p/3b1n2/3P4/8/5N2/PPP2PPP/RNB1KB1R b KQkq - 1 7,-190,-0.09500,END,13,7,29,27,36,1,0,14.03,9
rnb2rk1/ppp2p1p/3b1n2/3P4/8/5N2/PPP2PPP/RNB1KB1R w KQ - 2 8,243,0.12150,END,14,8,29,27,36,1,0,14.48,10
rnb2rk1/ppp2p1p/3b1n2/3P4/8/5N1P/PPP2PP1/RNB1KB1R b KQ - 0 8,-60,-0.03000,END,15,8,29,27,36,1,0,15.49,11
rnb2rk1/ppp2p1p/3b4/3n4/8/5N1P/PPP2PP1/RNB1KB1R w KQ - 0 9,102,0.05100,END,16,9,28,27,34,1,0,13.56,10
rnb2rk1/ppp2p1p/3b3B/3n4/8/5N1P/PPP2PP1/RN2KB1R b KQ - 1 9,-40,-0.02000,END,17,9,28,27,34,1,0,13.53,9
rnb1r1k1/ppp2p1p/3b3B/3n4/8/5N1P/PPP2PP1/RN2KB1R w KQ - 2 10,53,0.02650,END,18,10,28,27,34,1,0,14.43,9
rnb1r1k1/ppp2p1p/3b3B/3n4/8/5N1P/PPP1BPP1/RN2K2R b KQ - 3 10,24,0.01200,END,19,10,28,27,34,1,0,13.13,10
4nrk1/p4p1p/3P2p1/pR2P3/2r4q/4P3/P5PP/1K5R w - - 0 24,-672,-0.33600,MID,46,24,16,27,28,0,0,14.39,14
4nrk1/p4p1p/3P2p1/pR2P3/2r1P2q/8/P5PP/1K5R b - - 0 24,844,0.42200,MID,47,24,16,27,28,0,0,14.87,17
5rk1/p4p1p/3n2p1/pR2P3/2r1P2q/8/P5PP/1K5R w - - 0 25,-884,-0.44200,MID,48,25,15,27,26,0,0,13.99,14
