fen,eval_cp,eval_norm,phase_bucket,ply,move_number,material_white,material_black,piece_count_total,endgame_rule_flag,mate_flag,time_ms,depth
r1bqk2r/pp2ppbp/2np1np1/2p5/2P1P3/3P2P1/PP2NPBP/RNBQ1RK1 b kq - 0 7,24,0.01200,OPEN,13,7,39,39,46,0,0,13.60,8
1k1r4/1p1P4/p6r/5p1p/P6P/6q1/4B1P1/2RQ3K w - - 0 30,-278,-0.13900,MID,58,30,21,23,22,0,0,12.97,9
r3k2r/pp1bbppp/1qn1p2n/2ppP3/3P4/2PB1N2/PP3PPP/RNBQR1K1 b kq - 10 9,-12,-0.00600,OPEN,17,9,39,39,46,0,0,14.80,11
rnbqk1nr/ppp2ppp/3b4/4N2Q/4pP2/8/PPPP2PP/RNB1KB1R b KQkq - 2 5,136,0.06800,OPEN,9,5,38,38,42,0,0,14.02,11
2bQk3/pp3prp/2q1p2p/4P3/8/1B3N1P/P4PP1/3R2K1 b - - 0 25,-2000,-1.00000,MID,49,25,25,23,29,0,1,1.26,0
r3r3/pp3Rpk/7p/3pN3/2pP2R1/2P1P3/PP1NK3/8 b - - 0 29,-735,-0.36750,END,57,29,21,16,28,1,0,13.99,14
5rk1/1pr1ppb1/p2p2p1/3Pnn1p/2P1N3/1P6/P2B1PPP/2R1RBK1 w - - 1 24,69,0.03450,END,46,24,26,26,38,1,0,14.96,11
r2r2k1/p1p2ppp/B2p4/8/4p3/B1P5/P4KPP/R2Q4 w - - 0 18,616,0.30800,MID,34,18,24,17,28,0,0,14.96,15
rnbqk2r/ppppppbp/5np1/8/4P3/3P1N2/PPPN1PPP/R1BQKB1R b KQkq - 0 4,13,0.00650,OPEN,7,4,39,39,46,0,0,15.52,8
3r4/p4k2/1p3p2/5p1p/2PP4/5P1P/PP4P1/4R1K1 w - - 1 32,419,0.20950,END,62,32,12,10,26,1,0,13.96,14
5bk1/1pq2pp1/2p1b2p/p3p3/2P1n3/1P1BBN2/P4PPP/3Q2K1 b - - 1 24,119,0.05950,MID,47,24,24,25,34,0,0,14.20,9
rnbqkbnr/pp2pppp/8/3P4/3p4/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 5,307,0.15350,OPEN,8,5,38,38,42,0,0,15.48,12
5k2/1b2b2p/p3p1p1/1pppP1q1/3Pp3/2P1P3/PPBB1QPP/6K1 b - - 1 22,1,0.00050,MID,43,22,23,23,38,0,0,13.96,10
8/8/p2p2k1/1ppPp1p1/4P1P1/1P2P1K1/1PP5/8 w - - 2 41,7,0.00350,END,80,41,7,6,26,1,0,14.14,11
r4r2/ppp2p1k/2np3p/4p2P/2P1P3/8/PPPN1b1P/2KR3R w - - 0 14,-508,-0.25400,END,26,14,20,23,35,1,0,14.96,13
r3k2r/ppp2ppp/2n1bn2/3q4/8/2B1PN2/PP3PPP/R2QKB1R b KQkq - 0 10,17,0.00850,OPEN,19,10,34,34,36,0,0,13.96,10
rn2kbnr/p6p/2p4p/1p1pp3/6b1/1B1P1NP1/PPP3P1/RN2K2R w KQkq - 1 13,-406,-0.20300,END,24,13,25,29,37,1,0,16.52,13
2b3R1/2r4k/p3pn2/1p1pNp1P/3P4/2PB1P2/PP4R1/2K5 b - - 0 31,-280,-0.14000,END,61,31,22,16,29,1,0,15.57,13
r1bqk2r/1ppp1ppp/p1n2n2/6B1/4P3/2N5/PPP2PPP/R2QKB1R b KQkq - 1 8,-109,-0.05450,OPEN,15,8,35,35,40,0,0,19.87,8
5r2/2q3k1/3pB1pp/1ppPp2n/4P3/7Q/1PP3PP/4R1K1 w - - 0 31,-12,-0.00600,MID,60,31,23,23,30,0,0,12.99,10
r1b1kb1r/1p1p1p1p/1n1P2p1/p3P1B1/8/5N2/4QPPP/R5K1 w kq - 0 21,628,0.31400,MID,40,21,25,25,31,0,0,12.92,14
6k1/1b1q1p1p/pp1n2p1/3p4/P2b4/1PN3P1/1B3PBP/4Q1K1 w - - 0 30,19,0.00950,MID,58,30,23,24,30,0,0,14.93,11
4rrk1/p5b1/1pp2Bp1/3bP3/3P1p2/2P4P/PP3QP1/R3R1K1 b - - 1 32,-605,-0.30250,MID,63,32,29,21,32,0,0,13.04,14
r4r2/pp4k1/2n1b3/3p1p2/3P4/1N6/PP2RPPP/R5K1 w - - 0 22,303,0.15150,END,42,22,19,20,27,1,0,52.30,11
1R6/p2q1ppk/4p3/3rP2p/2R2P2/6P1/5PKP/8 b - - 0 32,471,0.23550,MID,63,32,15,19,24,0,0,14.22,14
3Q2k1/2p2pp1/5n1p/P1P1B3/1P6/2n2B2/6PP/R4RK1 b - - 0 26,-1114,-0.55700,MID,51,26,30,10,25,0,0,13.96,14
rnbq1rk1/pppnbppp/4p3/3pP1B1/3P4/2N2P2/PPP3PP/R2QKBNR w KQ - 1 7,-22,-0.01100,OPEN,12,7,39,39,46,0,0,14.25,9
1r4k1/1p3ppp/3p2b1/1R1P4/3bP3/1Q6/5PPP/2r2BK1 b - - 1 28,29,0.01450,MID,55,28,22,21,27,0,0,13.98,9
r1bqkb1r/pppp1ppp/2n2n2/8/5B2/5N2/PPP1PPPP/RN1QKB1R b KQkq - 4 5,41,0.02050,OPEN,9,5,38,38,42,0,0,15.96,8
r3kb1r/pp3ppp/2n1pn2/2p2b2/3PpB2/2P2N2/Pq1NBPPP/R2Q1RK1 w kq - 0 10,64,0.03200,OPEN,18,10,37,39,42,0,0,14.96,11
1r4k1/2R3p1/1p1p3p/1B3N2/4nP2/6P1/b6P/6K1 w - - 0 35,194,0.09700,END,68,35,14,15,20,1,0,13.96,12
r4k2/p5pp/1b4n1/2p5/1BNP1p2/5r2/PP3P2/4RRK1 w - - 0 28,172,0.08600,END,54,28,20,21,26,1,0,15.02,11
2b4k/6p1/p4r1p/1p6/3Ppr2/2P1R3/PPB3PP/2R3K1 w - - 0 30,421,0.21050,END,58,30,19,18,28,1,0,14.73,12
